term,definition,link,introduced_by_card_id
StatefulSet,"Like a Deployment, but each pod gets a stable, unique identity and its own persistent storage that follows it -- the right fit for stateful apps like databases.",https://kubernetes.io/docs/concepts/workloads/controllers/statefulset/,62
DaemonSet,A controller that runs exactly one copy of a pod on every node in the cluster -- a natural fit for things like logging or monitoring agents that need to be everywhere.,https://kubernetes.io/docs/concepts/workloads/controllers/daemonset/,66
Kubernetes Job,"A controller that runs a task to completion once, then stops -- unlike a Deployment, it isn't meant to keep running forever.",https://kubernetes.io/docs/concepts/workloads/controllers/job/,46
CronJob,"A Job that repeats on a schedule you set, like a nightly backup, instead of running just once.",https://kubernetes.io/docs/concepts/workloads/controllers/cron-jobs/,71
Service,"An object that gives a changing set of pods one stable network address, so other things can reliably reach them even as individual pods come and go and their IPs change.",https://kubernetes.io/docs/concepts/services-networking/service/,71
ClusterIP,"The default Service type -- gives pods a stable address that's reachable only from inside the cluster, not from the internet.",,82
NodePort,"A Service type that opens the same port on every node in the cluster, making the service reachable from outside using any node's address.",,82
LoadBalancer,"A Service type that asks the cloud provider for a real external, internet-facing address -- the option for exposing something to the public internet.",,81
Cluster DNS,"Kubernetes' built-in DNS system that lets one pod reach another by a stable name -- typically a Service's name -- instead of by IP address, since a pod's IP can change whenever it restarts or moves to a different node.",https://kubernetes.io/docs/concepts/services-networking/dns-pod-service/,87
Ingress,"An object that defines HTTP routing rules for external traffic coming into a cluster, based on things like hostname or URL path.",https://kubernetes.io/docs/concepts/services-networking/ingress/,18
Ingress controller,"The component that actually reads an Ingress object's routing rules and implements them, sending real traffic where it says to.",,92
ConfigMap,"An object that holds an app's configuration separately from its container image, so you can change a setting without rebuilding or redeploying anything.",https://kubernetes.io/docs/concepts/configuration/configmap/,96
Secret,"Like a ConfigMap, but for sensitive values like passwords, tokens, and keys -- handled with more care so they don't sit in plain regular configuration.",https://kubernetes.io/docs/concepts/configuration/secret/,101
Volume,"Storage attached to a pod that outlives a single container restart -- without one, anything a container wrote to its own local disk is wiped when it restarts.",https://kubernetes.io/docs/concepts/storage/volumes/,111
PersistentVolume,"A piece of real storage that already exists and is available in the cluster, ready for a pod to claim and use.",https://kubernetes.io/docs/concepts/storage/persistent-volumes/,116
PersistentVolumeClaim,"A pod's request for storage -- separate from the PersistentVolume itself, which is the actual storage that fulfills that request.",https://kubernetes.io/docs/concepts/storage/persistent-volumes/#persistentvolumeclaims,116
StorageClass,"A setup that lets Kubernetes create storage automatically the moment a claim needs it, instead of an admin having to pre-provision volumes by hand.",https://kubernetes.io/docs/concepts/storage/storage-classes/,121
Namespace,"A logical space inside one cluster that lets different teams, environments, or projects share it without their objects colliding or interfering.",https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/,52
Label,"A key-value tag attached to a Kubernetes object (like a pod), used to identify and organize it -- almost every other Kubernetes feature builds on this tagging system.",https://kubernetes.io/docs/concepts/overview/working-with-objects/labels/,117
Selector,A query that finds Kubernetes objects by matching the labels attached to them.,,137
Node affinity,"A rule that attracts a pod toward certain nodes when the scheduler places it, based on labels on those nodes.",https://kubernetes.io/docs/concepts/scheduling-eviction/assign-pod-node/#affinity-and-anti-affinity,141
Taint,"A marker on a node that repels pods away from it, unless a pod explicitly carries a matching toleration -- the opposite effect of node affinity.",https://kubernetes.io/docs/concepts/scheduling-eviction/taint-and-toleration/,142
Toleration,A setting on a pod that lets it ignore a specific taint and be scheduled onto that node anyway.,,142
Liveness probe,"A recurring check that confirms a pod is still alive and working -- if it fails, Kubernetes restarts the pod.",https://kubernetes.io/docs/concepts/configuration/liveness-readiness-startup-probes/,147
Readiness probe,"A check that confirms a pod is ready to accept real traffic -- until it passes, Kubernetes won't send requests to that pod.",https://kubernetes.io/docs/concepts/configuration/liveness-readiness-startup-probes/,147
Startup probe,"A check that runs before the liveness and readiness probes, giving a slow-booting app enough time to start before the other probes begin judging it.",https://kubernetes.io/docs/concepts/configuration/liveness-readiness-startup-probes/,146
Manifest,A YAML file that describes the state you want a cluster to be in -- not a sequence of commands -- which kubectl apply then works out how to achieve.,,157
Helm,"A packaging tool that bundles a set of Kubernetes manifests into a single reusable, configurable chart, so you can install a whole app with one command instead of applying many YAML files by hand.",https://helm.sh/,161
Helm chart,"A reusable, configurable package of Kubernetes manifests created with Helm, used to install or upgrade a whole application in one step.",https://helm.sh/docs/topics/charts/,162
Kustomize,"A tool that customizes plain Kubernetes YAML by layering small patches on top of a base version -- unlike Helm, it needs no templating language.",https://kustomize.io/,166
Rolling update,"A way of deploying a new version that replaces old pods with new ones a few at a time, instead of all at once, so the app stays available with zero downtime throughout.",https://kubernetes.io/docs/tutorials/kubernetes-basics/update/update-intro/,171
Rollback,"Undoing a rolling update and returning to the previous working version, used when a new deployment turns out to be broken.",,172
RBAC,"Role-Based Access Control -- the system that grants specific cluster permissions to users or service accounts through defined roles, instead of giving everyone full access.",https://kubernetes.io/docs/reference/access-authn-authz/rbac/,181
ResourceQuota,"A cap on the total resources (like CPU and memory) a whole namespace is allowed to use, so one team can't starve out everyone else sharing the cluster.",https://kubernetes.io/docs/concepts/policy/resource-quotas/,186
PodDisruptionBudget,"A rule that limits how many pods of a workload can go down at once during a voluntary disruption, like planned node maintenance, protecting its overall availability.",https://kubernetes.io/docs/concepts/workloads/pods/disruptions/,191
